1,40.793076,111.699438,2014-05-05,22:48:40
2,40.793063,111.699477,2014-05-05,22:48:46
3,40.793049,111.699485,2014-05-05,22:48:52
4,40.793021,111.699549,2014-05-05,22:49:23
5,40.793069,111.699536,2014-05-05,22:49:53
6,40.793043,111.699476,2014-05-05,22:52:34
7,40.804660,111.689134,2014-05-06,17:52:58
8,40.804659,111.689220,2014-05-06,17:54:04
9,40.804679,111.689298,2014-05-06,17:54:06
10,40.804702,111.689371,2014-05-06,17:54:08
11,40.804721,111.689439,2014-05-06,17:54:10
12,40.804740,111.689504,2014-05-06,17:54:12
13,40.804766,111.689577,2014-05-06,17:54:14
14,40.804784,111.689653,2014-05-06,17:54:16
15,40.804806,111.689718,2014-05-06,17:54:18
16,40.804826,111.689792,2014-05-06,17:54:21
17,40.804833,111.689869,2014-05-06,17:54:29
18,40.804855,111.689958,2014-05-06,17:54:31
19,40.804878,111.690044,2014-05-06,17:54:33
20,40.804896,111.690128,2014-05-06,17:54:35
21,40.804909,111.690200,2014-05-06,17:54:37
22,40.804928,111.690273,2014-05-06,17:54:39
23,40.804932,111.690353,2014-05-06,17:54:41
24,40.804892,111.690434,2014-05-06,17:54:43
25,40.804812,111.690510,2014-05-06,17:54:44
26,40.804740,111.690544,2014-05-06,17:54:45
27,40.804662,111.690573,2014-05-06,17:54:46
28,40.804580,111.690623,2014-05-06,17:54:47
29,40.804502,111.690644,2014-05-06,17:54:48
30,40.804406,111.690686,2014-05-06,17:54:49
31,40.804308,111.690731,2014-05-06,17:54:50
32,40.804209,111.690774,2014-05-06,17:54:51
33,40.804109,111.690815,2014-05-06,17:54:52
34,40.804003,111.690858,2014-05-06,17:54:53
35,40.803905,111.690892,2014-05-06,17:54:54
36,40.803807,111.690942,2014-05-06,17:54:55
37,40.803701,111.690999,2014-05-06,17:54:56
38,40.803596,111.691047,2014-05-06,17:54:57
39,40.803492,111.691086,2014-05-06,17:54:58
40,40.803390,111.691140,2014-05-06,17:54:59
41,40.803294,111.691169,2014-05-06,17:55:00
42,40.803203,111.691204,2014-05-06,17:55:01
43,40.803118,111.691202,2014-05-06,17:55:02
44,40.803046,111.691224,2014-05-06,17:55:03
45,40.802973,111.691252,2014-05-06,17:55:04
46,40.802917,111.691271,2014-05-06,17:55:05
47,40.802855,111.691291,2014-05-06,17:55:06
48,40.802803,111.691321,2014-05-06,17:55:07
49,40.802748,111.691336,2014-05-06,17:55:08
50,40.802692,111.691344,2014-05-06,17:55:09
